구분,2020년,2021년,2022년,평균,증감률,증감
붉은배새매,0,0,0,0,0,0.85
조롱이,0,1,0,0,0,0.85
작은새매,0,0,0,0,0,0.85
새매,39,53,41,44,0.051282051,1
참매,29,47,25,34,-0.137931034,0.7
왕새매,0,0,0,0,0,0.85
말똥가리,676,594,469,580,-0.306213018,0.7
큰말똥가리,9,37,8,18,-0.111111111,0.7
털발말똥가리,3,4,0,2,-1,0.5
항라머리검독수리,1,5,4,3,3,1
초원수리,1,0,0,0,-1,0.5
흰죽지수리,2,4,2,3,0,0.85
검독수리,1,2,0,1,-1,0.5
흰배줄무늬수리,0,0,0,0,0,0.85
흰점어깨수리,0,0,0,0,0,0.85
뿔매,0,0,0,0,0,0.85
느시,1,0,0,0,-1,0.5
알락뜸부기,0,0,0,0,0,0.85
흰눈썹뜸부기,0,1,5,2,0,0.85
흰배뜸부기,0,0,0,0,0,0.85
쇠뜸부기,0,0,0,0,0,0.85
쇠뜸부기사촌,0,0,0,0,0,0.85
한국뜸부기,0,0,0,0,0,0.85
뜸부기,0,0,0,0,0,0.85
쇠물닭,77,23,73,58,-0.051948052,0.7
물닭,"29,135","48,979","32,855",36990,0.127681483,1
쇠재두루미,0,0,0,0,0,0.85
시베리아흰두루미,0,0,0,0,0,0.85
캐나다두루미,4,5,6,5,0.5,1
재두루미,"5,697","7,012","7,566",6758,0.328067404,1
검은목두루미,9,15,14,13,0.555555556,1
흑두루미,"2,522","3,017","3,048",2862,0.208564631,1
두루미,"1,657","1,693","1,686",1679,0.017501509,1
세가락메추라기,0,0,0,0,0,0.85
검은머리물떼새,"4,731","5,085","5,105",4974,0.079053054,1
장다리물떼새,0,0,1,0,0,0.85
뒷부리장다리물떼새,0,0,0,0,0,0.85
댕기물떼새,389,346,144,293,-0.729820051,0.5
민댕기물떼새,0,0,0,0,0,0.85
검은가슴물떼새,0,0,0,0,0,0.85
개꿩,"1,352","1,051","1,953",1452,0.544526627,1
흰죽지꼬마물떼새,1,1,2,1,1,1
흰목물떼새,68,61,100,76,0.570588235,1
꼬마물떼새,1,3,0,1,-1,0.5
흰물떼새,353,318,304,325,-0.138810198,0.7
왕눈물떼새,2,1,0,1,-1,0.5
큰왕눈물떼새,0,0,0,0,0,0.85
큰물떼새,0,0,0,0,0,0.85
흰눈썹물떼새,0,0,0,0,0,0.85
호사도요,0,0,0,0,0,0.85
물꿩,0,0,0,0,0,0.85
멧도요,0,1,0,0,0,0.85
꼬마도요,0,0,0,0,0,0.85
청도요,0,0,0,0,0,0.85
큰꺅도요,0,0,0,0,0,0.85
바늘꼬리도요,0,0,0,0,0,0.85
꺅도요사촌,0,0,0,0,0,0.85
꺅도요,19,34,18,24,-0.052631579,0.7
긴부리도요,2,0,0,1,-1,0.5
큰부리도요,0,0,0,0,0,0.85
흑꼬리도요,0,0,7,2,0,0.85
큰뒷부리도요,0,0,0,0,0,0.85
쇠부리도요,0,0,0,0,0,0.85
중부리도요,137,0,0,46,-1,0.5
마도요,"5,121","11,607","6,391",7706,0.247998438,1
알락꼬리마도요,7,2,0,3,-1,0.5
학도요,0,0,3,1,0,0.85
붉은발도요,0,0,0,0,0,0.85
쇠청다리도요,0,0,0,0,0,0.85
청다리도요,31,73,13,39,-0.580645161,0.5
청다리도요사촌,0,0,0,0,0,0.85
큰노랑발도요,0,0,0,0,0,0.85
삑삑도요,94,86,88,89,-0.063829787,0.7
알락도요,0,0,0,0,0,0.85
뒷부리도요,59,0,0,20,-1,0.5
깝작도요,88,76,57,74,-0.352272727,0.7
노랑발도요,0,0,0,0,0,0.85
꼬까도요,0,0,8,3,0,0.85
붉은어깨도요,0,0,0,0,0,0.85
붉은가슴도요,0,0,0,0,0,0.85
세가락도요,437,300,448,395,0.025171625,1
좀도요,0,2,1,1,0,0.85
작은도요,0,0,0,0,0,0.85
흰꼬리좀도요,2,0,0,1,-1,0.5
종달도요,0,0,0,0,0,0.85
아메리카메추라기도요,0,0,0,0,0,0.85
메추라기도요,0,0,0,0,0,0.85
붉은갯도요,0,0,0,0,0,0.85
민물도요,"13,963","10,937","10,140",11680,-0.27379503,0.7
넓적부리도요,0,0,0,0,0,0.85
송곳부리도요,0,0,0,0,0,0.85
누른도요,0,0,0,0,0,0.85
목도리도요,0,0,0,0,0,0.85
큰지느러미발도요,0,0,0,0,0,0.85
지느러미발도요,0,0,0,0,0,0.85
붉은배지느러미발도요,0,0,0,0,0,0.85
제비물떼새,0,0,0,0,0,0.85
괭이갈매기,"31,246","48,212","8,073",29177,-0.741630929,0.5
갈매기,"7,228","6,556",803,4862,-0.788904261,0.5
수리갈매기,2,2,0,1,-1,0.5
흰갈매기,81,67,10,53,-0.77654321,0.5
작은흰갈매기,0,0,0,0,0,0.85
작은재갈매기,0,0,0,0,0,0.85
재갈매기,"42,527","53,332","10,810",35556,-0.745808545,0.5
옅은재갈매기,0,0,0,0,0,0.85
한국재갈매기,429,469,367,422,-0.144522145,0.7
줄무늬노랑발갈매기,182,289,76,182,-0.582417582,0.5
큰재갈매기,"2,168","2,330",105,1534,-0.951568266,0.5
큰검은머리갈매기,1,0,0,0,-1,0.5
붉은부리갈매기,"15,295","21,467","4,840",13867,-0.783556718,0.5
긴목갈매기,0,0,0,0,0,0.85
검은머리갈매기,"2,068","2,909","2,087",2355,0.009187621,1
고대갈매기,7,0,0,2,-1,0.5
꼬마갈매기,0,0,0,0,0,0.85
북극흰갈매기,0,0,0,0,0,0.85
목테갈매기,0,0,0,0,0,0.85
세가락갈매기,75,0,0,25,-1,0.5
큰부리제비갈매기,0,0,0,0,0,0.85
붉은부리큰제비갈매기,0,0,1,0,0,0.85
큰제비갈매기,0,0,0,0,0,0.85
뿔제비갈매기,0,0,0,0,0,0.85
긴꼬리제비갈매기,0,0,0,0,0,0.85
제비갈매기,0,0,0,0,0,0.85
쇠제비갈매기,0,0,0,0,0,0.85
알류샨제비갈매기,0,0,0,0,0,0.85
에위니아제비갈매기,0,0,0,0,0,0.85
검은등제비갈매기,0,0,0,0,0,0.85
구레나룻제비갈매기,0,0,0,0,0,0.85
흰죽지제비갈매기,0,0,0,0,0,0.85
검은제비갈매기,0,0,0,0,0,0.85
흰제비갈매기,0,0,0,0,0,0.85
남극도둑갈매기,0,0,0,0,0,0.85
넓적꼬리도둑갈매기,0,0,0,0,0,0.85
북극도둑갈매기,0,0,0,0,0,0.85
긴꼬리도둑갈매기,0,0,0,0,0,0.85
큰부리바다오리,3,1,0,1,-1,0.5
바다오리,0,0,0,0,0,0.85
흰눈썹바다오리,0,2,0,1,0,0.85
알락쇠오리,0,0,0,0,0,0.85
바다쇠오리,"2,673","1,274",0,1316,-1,0.5
뿔쇠오리,0,0,0,0,0,0.85
작은바다오리,0,0,0,0,0,0.85
흰수염바다오리,8,4,0,4,-1,0.5
댕기바다오리,0,0,0,0,0,0.85
사막꿩,0,0,0,0,0,0.85
양비둘기,12,55,3,23,-0.75,0.5
분홍가슴비둘기,0,0,0,0,0,0.85
흑비둘기,0,0,0,0,0,0.85
멧비둘기,"15,206","16,983","10,627",14272,-0.301131132,0.7
염주비둘기,0,2,0,1,0,0.85
홍비둘기,0,0,0,0,0,0.85
목점박이비둘기,0,0,0,0,0,0.85
녹색비둘기,0,0,0,0,0,0.85
밤색날개뻐꾸기,0,0,0,0,0,0.85
큰매사촌,0,0,0,0,0,0.85
매사촌,0,0,0,0,0,0.85
검은등뻐꾸기,0,0,0,0,0,0.85
뻐꾸기,0,0,0,0,0,0.85
벙어리뻐꾸기,0,0,0,0,0,0.85
두견,0,0,0,0,0,0.85
검은두견이,0,0,0,0,0,0.85
검은뻐꾸기,0,0,0,0,0,0.85
우는뻐꾸기,0,0,0,0,0,0.85
작은뻐꾸기사촌,0,0,0,0,0,0.85
가면올빼미,0,0,0,0,0,0.85
큰소쩍새,0,1,0,0,0,0.85
소쩍새,0,0,0,0,0,0.85
흰올빼미,0,0,0,0,0,0.85
수리부엉이,9,11,5,8,-0.544444444,0.7
올빼미,0,0,0,0,0,0.85
긴점박이올빼미,0,0,0,0,0,0.85
긴꼬리올빼미,0,0,0,0,0,0.85
금눈쇠올빼미,2,0,0,1,-1,0.5
솔부엉이,0,0,0,0,0,0.85
칡부엉이,0,0,4,1,0,0.85
쇠부엉이,7,4,9,7,0.285714286,1
쏙독새,0,0,0,0,0,0.85
작은칼새,0,0,0,0,0,0.85
바늘꼬리칼새,0,0,0,0,0,0.85
칼새,0,0,0,0,0,0.85
쇠칼새,0,0,0,0,0,0.85
파랑새,0,0,0,0,0,0.85
호반새,0,0,0,0,0,0.85
청호반새,0,0,0,0,0,0.85
물총새,34,14,17,22,-0.5,0.85
뿔호반새,0,0,0,0,0,0.85
후투티,57,43,41,47,-0.280701754,0.7
개미잡이,0,0,0,0,0,0.85
붉은배오색딱다구리,0,0,0,0,0,0.85
쇠딱다구리,191,182,108,160,-0.534554974,0.7
아물쇠딱다구리,1,1,0,1,-1,0.5
쇠오색딱다구리,0,0,0,0,0,0.85
큰오색딱다구리,22,22,7,17,-0.781818182,0.5
오색딱다구리,121,117,64,101,-0.57107438,0.7
세가락딱다구리,0,0,0,0,0,0.85
크낙새,0,0,0,0,0,0.85
까막딱다구리,0,0,0,0,0,0.85
